index,num_stats,combo,k,inertia,Kyle Korver,Ray Allen,JJ Redick,Danny Green,Chris Paul,Steve Nash,Rajon Rondo,Deron Williams,Tony Parker,Ricky Rubio,Jason Kidd,Dwight Howard,Shaquille O'Neal,Tyson Chandler,DeAndre Jordan,Blake Griffin,Serge Ibaka,JaVale McGee,LeBron James,James Harden,Russell Westbrook,Luka Doncic,Dwyane Wade,Anthony Davis,Kobe Bryant,Kevin Durant,Damian Lillard,Kyrie Irving,Kawhi Leonard,Giannis Antetokounmpo,Dirk Nowitzki,Tim Duncan,Nikola Vucevic,Nikola Jokic
0,8,"['AST', 'BLK', 'FG3M', 'FGM', 'PFD', 'PTS_2ND_CHANCE', 'PTS_PAINT', 'STL']",7,3017.373155447048,5,3,3,5,0,0,2,0,0,2,2,6,6,4,4,6,4,4,0,0,0,0,0,6,0,0,0,0,0,6,3,6,6,6
1,8,"['AST', 'BLK', 'FG3A', 'FGA', 'OREB', 'PFD', 'PTS', 'STL']",6,3122.0773130634925,0,0,0,0,2,4,4,2,2,4,4,3,3,1,1,2,1,1,2,2,2,2,2,3,2,2,2,2,2,3,2,3,3,2
2,8,"['AST', 'BLK', 'DREB', 'FG3A', 'FGA', 'PFD', 'PTS', 'STL']",6,3282.783907524812,4,4,4,1,3,3,2,3,3,2,2,5,5,0,0,5,0,0,3,3,3,3,3,5,3,3,3,3,3,5,5,5,5,5
3,8,"['AST', 'BLK', 'FG3A', 'FGA', 'PFD', 'PTS', 'REB', 'STL']",6,3176.0169076745306,4,2,2,4,3,3,0,3,3,0,0,5,5,1,1,5,1,5,3,3,3,3,3,5,3,3,3,3,3,5,5,5,5,3
4,8,"['AST', 'BLK', 'DREB', 'FGA', 'OREB', 'PFD', 'PTS', 'STL']",6,3116.0463903109335,0,4,4,0,1,1,2,1,1,2,2,3,3,5,5,3,5,5,1,1,1,1,1,3,1,1,1,1,1,3,3,3,3,3
5,8,"['AST', 'BLK', 'DREB', 'FG3A', 'OREB', 'PFD', 'PTS', 'STL']",7,2984.6609163327594,0,0,2,0,4,4,5,4,4,4,5,3,3,1,1,3,1,1,4,4,4,4,4,3,4,4,4,4,4,3,2,3,3,3
6,9,"['AST', 'BLK', 'FG3M', 'FGA', 'FGM', 'PFD', 'PTS_2ND_CHANCE', 'PTS_PAINT', 'STL']",7,3409.0556030709486,0,0,2,0,4,4,5,4,4,5,5,3,3,1,1,3,1,1,4,4,4,4,4,3,4,4,4,4,4,3,2,3,3,3
7,9,"['AST', 'BLK', 'FG3A', 'FG3M', 'FGM', 'PFD', 'PTS_2ND_CHANCE', 'PTS_PAINT', 'STL']",7,3333.8557001392874,5,3,3,5,0,0,2,0,0,2,2,6,6,4,4,6,4,6,0,0,0,0,0,6,0,0,0,0,0,6,3,6,6,0
8,9,"['AST', 'BLK', 'FG3M', 'FGM', 'OREB', 'PFD', 'PTS_2ND_CHANCE', 'PTS_PAINT', 'STL']",7,3280.033138672369,1,4,4,1,6,6,3,6,6,3,3,5,5,0,0,5,0,5,6,6,6,6,6,5,6,6,6,6,6,5,4,5,5,5
9,9,"['AST', 'BLK', 'DREB', 'FG3M', 'FGM', 'PFD', 'PTS_2ND_CHANCE', 'PTS_PAINT', 'STL']",7,3464.2297853115106,0,0,2,0,6,1,1,6,6,1,1,5,5,3,5,5,3,5,6,6,6,6,6,5,6,6,6,6,6,5,2,5,5,5
10,9,"['AST', 'BLK', 'FG3M', 'FGM', 'PFD', 'PTS_2ND_CHANCE', 'PTS_PAINT', 'REB', 'STL']",6,3533.8904093093115,0,0,2,0,1,1,4,1,1,4,4,5,5,3,5,5,3,5,1,1,1,1,1,5,1,1,1,1,1,5,2,5,5,5
11,9,"['AST', 'BLK', 'FG3M', 'FGM', 'PFD', 'PTS_2ND_CHANCE', 'PTS_FB', 'PTS_PAINT', 'STL']",6,3715.1433242469607,1,4,4,1,2,3,3,2,2,3,3,5,5,0,5,5,0,5,2,2,2,2,2,5,2,2,2,2,2,2,4,5,5,5
12,9,"['AST', 'BLK', 'DREB', 'FG3A', 'FGA', 'OREB', 'PFD', 'PTS', 'STL']",6,3548.781628305055,4,4,4,0,1,2,2,1,1,2,2,3,3,5,5,3,5,5,1,1,1,1,1,3,1,1,1,1,1,3,3,3,3,3
13,10,"['AST', 'BLK', 'FG3A', 'FG3M', 'FGA', 'FGM', 'PFD', 'PTS_2ND_CHANCE', 'PTS_PAINT', 'STL']",7,3730.9270017317526,6,6,2,6,3,0,0,3,3,0,0,5,5,1,1,5,1,5,3,3,3,3,3,5,3,3,3,3,3,5,2,5,5,3
