Team,Date,Player_Name,Notes,Season,player_height,player_weight,age
Rockets,2010-11-07,Aaron Brooks,placed on IL with sprained left ankle,2010,182.88,73.028312,26.0
Kings,2012-12-30,Aaron Brooks,sore left ankle,2012,182.88,73.028312,28.0
Rockets,2014-01-15,Aaron Brooks,tendinitis in knee,2014,182.88,73.028312,30.0
Bulls,2015-11-19,Aaron Brooks,strained left hamstring,2015,182.88,73.028312,31.0
Bulls,2015-12-05,Aaron Brooks,strained left hamstring,2015,182.88,73.028312,31.0
Pacers,2016-10-24,Aaron Brooks,sore knee,2016,182.88,73.028312,32.0
Pacers,2017-01-23,Aaron Brooks,placed on IL with sore right knee,2017,182.88,73.028312,33.0
Magic,2014-11-16,Aaron Gordon,fractured left foot,2014,205.74,99.79024,19.0
Magic,2014-11-26,Aaron Gordon,placed on IL with fractured left foot,2014,205.74,99.79024,19.0
Magic,2015-02-04,Aaron Gordon,placed on IL with sore left foot,2015,205.74,99.79024,20.0
Magic,2015-02-27,Aaron Gordon,placed on IL with sprained right ankle,2015,205.74,99.79024,20.0
Magic,2015-12-08,Aaron Gordon,ankle injury,2015,205.74,99.79024,20.0
Magic,2016-04-07,Aaron Gordon,concussion,2016,205.74,99.79024,21.0
Magic,2017-02-08,Aaron Gordon,bone bruise in right foot,2017,205.74,99.79024,22.0
Magic,2017-10-20,Aaron Gordon,placed on IL with sore left ankle,2017,205.74,99.79024,22.0
Magic,2017-12-09,Aaron Gordon,concussion,2017,205.74,99.79024,22.0
Magic,2018-01-30,Aaron Gordon,strained left hip flexor,2018,205.74,99.79024,23.0
Magic,2018-03-09,Aaron Gordon,concussion,2018,205.74,99.79024,23.0
Magic,2018-04-06,Aaron Gordon,sore right calf,2018,205.74,99.79024,23.0
Magic,2018-11-11,Aaron Gordon,placed on IL with sprained left ankle,2018,205.74,99.79024,23.0
Magic,2018-11-28,Aaron Gordon,placed on IL with tightness in lower back,2018,205.74,99.79024,23.0
Magic,2019-01-19,Aaron Gordon,sore lower back,2019,203.2,106.59412,24.0
Magic,2019-11-21,Aaron Gordon,bruised right ankle,2019,203.2,106.59412,24.0
Magic,2019-12-30,Aaron Gordon,placed on IL with left Achilles injury,2019,203.2,106.59412,24.0
Magic,2020-01-10,Aaron Gordon,placed on IL with right calf injury,2020,203.2,106.59412,25.0
Magic,2020-03-02,Aaron Gordon,placed on IL with right knee inflammation,2020,203.2,106.59412,25.0
Magic,2020-08-07,Aaron Gordon,placed on IL with strained left hamstring,2020,203.2,106.59412,25.0
Hornets,2011-01-21,Aaron Gray,placed on IL with sprained ankle,2011,213.36,122.46984,27.0
Raptors,2011-12-26,Aaron Gray,placed on IL with irregular heartbeat,2011,213.36,122.46984,27.0
Raptors,2013-11-29,Aaron Gray,placed on IL,2013,213.36,122.46984,29.0
Kings,2013-12-11,Aaron Gray,,2013,213.36,122.46984,29.0
Thunder,2020-01-14,Abdel Nader,sprained left ankle,2020,195.58,102.0582,27.0
Thunder,2020-08-14,Abdel Nader,placed on IL with neck injury,2020,195.58,102.0582,27.0
Bulls,2020-01-06,Adam Mokoka,right eye injury,2020,193.04,86.18248,22.0
Hawks,2014-10-29,Adreian Payne,placed on IL with plantar fasciaitis,2014,208.28,111.13004,24.0
Timberwolves,2017-02-03,Adreian Payne,thrombocytopenia,2017,208.28,107.501304,27.0
Magic,2017-10-18,Adreian Payne,placed on IL with fractured left hand,2017,208.28,107.501304,27.0
Nuggets,2010-10-09,Al Harrington,partially torn plantar fascia in left foot,2010,205.74,113.398,31.0
Nuggets,2010-12-28,Al Harrington,placed on IL with dislocated right thumb,2010,205.74,113.398,31.0
Nuggets,2011-01-30,Al Harrington,placed on IL with left foot injury,2011,205.74,113.398,32.0
Nuggets,2011-03-18,Al Harrington,placed on IL with strained right Achilles tendon,2011,205.74,113.398,32.0
Nuggets,2011-04-11,Al Harrington,right Achilles tendon injury / rest,2011,205.74,113.398,32.0
Nuggets,2012-04-22,Al Harrington,right knee injury,2012,205.74,111.13004,33.0
Nuggets,2012-05-16,Al Harrington,surgery on right knee to repair torn meniscus,2012,205.74,111.13004,33.0
Magic,2012-11-02,Al Harrington,placed on IL with right knee rehab / surgery on left knee,2012,205.74,111.13004,33.0
Magic,2013-03-19,Al Harrington,,2013,205.74,111.13004,34.0
Wizards,2013-11-16,Al Harrington,sore right knee,2013,205.74,111.13004,34.0
Wizards,2013-12-06,Al Harrington,sore right knee,2013,205.74,111.13004,34.0
Hawks,2011-01-21,Al Horford,placed on IL with sore right ankle,2011,208.28,113.398,26.0
Hawks,2011-02-05,Al Horford,placed on IL with bruised back,2011,208.28,113.398,26.0
Hawks,2011-03-12,Al Horford,placed on IL with sprained/sore left ankle,2011,208.28,113.398,26.0
Hawks,2012-01-12,Al Horford,placed on IL with torn left pectoral muscle,2012,208.28,113.398,27.0
Hawks,2012-11-14,Al Horford,stomach virus,2012,208.28,113.398,27.0
Hawks,2013-01-18,Al Horford,left hamstring injury,2013,208.28,113.398,28.0
Hawks,2013-04-06,Al Horford,hamstring injury,2013,208.28,113.398,28.0
Hawks,2013-04-16,Al Horford,sore chest,2013,208.28,113.398,28.0
Hawks,2013-12-27,Al Horford,torn right pectoral muscle,2013,208.28,113.398,28.0
Hawks,2015-01-14,Al Horford,placed on IL for rest,2015,208.28,111.13004,30.0
Hawks,2015-03-16,Al Horford,rest,2015,208.28,111.13004,30.0
Hawks,2015-03-28,Al Horford,rest,2015,208.28,111.13004,30.0
Hawks,2015-04-12,Al Horford,rest,2015,208.28,111.13004,30.0
Celtics,2016-11-02,Al Horford,placed on IL with concussion,2016,208.28,111.13004,31.0
Celtics,2017-01-27,Al Horford,groin injury,2017,208.28,111.13004,32.0
Celtics,2017-03-05,Al Horford,placed on IL with sprained right elbow,2017,208.28,111.13004,32.0
Celtics,2017-11-08,Al Horford,placed on IL with concussion,2017,208.28,111.13004,32.0
Celtics,2017-12-13,Al Horford,placed on IL for rest,2017,208.28,111.13004,32.0
Celtics,2018-01-06,Al Horford,sore left calf / knee injury,2018,208.28,111.13004,33.0
Celtics,2018-01-24,Al Horford,concussion,2018,208.28,111.13004,33.0
Celtics,2018-03-28,Al Horford,ankle injury,2018,208.28,111.13004,33.0
Celtics,2018-04-06,Al Horford,placed on IL for rest,2018,208.28,111.13004,33.0
Celtics,2018-11-23,Al Horford,placed on IL with sore left knee,2018,208.28,111.13004,33.0
Celtics,2018-12-08,Al Horford,sore left knee,2018,208.28,111.13004,33.0
