id,name,group,avg_min
255,Grant Hill,0,27.83951882845188
1627820,Tyrone Wallace,0,16.07503623188406
2754,Tony Allen,3,23.67689633767846
1628439,Isaiah Hicks,3,12.943015873015874
406,Shaquille O'Neal,4,22.04346441947565
2403,Nene,4,24.64556862745098
101124,Hakim Warrick,4,18.10353120243531
201593,Nikola Pekovic,4,24.939506172839504
436,Juwan Howard,3,14.932858585858586
202345,Damion James,3,16.004102564102563
1499,Tony Battie,3,10.0693125
202686,Jan Vesely,3,15.156183127572016
467,Jason Kidd,1,31.532108362779734
2581,Steve Blake,1,22.545181885671862
2224,Jamaal Tinsley,1,16.348164414414413
1715,Jason Williams,1,18.33051987767584
686,Antonio McDyess,3,20.023888888888887
202730,Lavoy Allen,3,17.79499140893471
200777,Joel Freeland,3,11.985755555555556
101130,Johan Petro,3,12.811124794745483
689,Theo Ratliff,3,14.858954802259886
2046,Desmond Mason,3,13.1
201880,Greg Stiemsma,3,15.014064039408868
2408,Melvin Ely,3,12.30390625
703,Kurt Thomas,3,15.992344236760124
201187,Dominic McGuire,3,13.377012089810018
708,Kevin Garnett,4,26.49379197379197
1628976,Wendell Carter Jr.,4,25.222727272727276
101135,David Lee,4,29.985919753086417
1627734,Domantas Sabonis,4,23.006600877192984
711,Jerry Stackhouse,0,14.834008620689657
1627782,Wayne Selden,0,19.07994623655914
2484,Devin Brown,0,21.19983333333333
203484,Kentavious Caldwell-Pope,0,29.72238805970149
714,Michael Finley,0,15.414021739130431
203710,C.J. Williams,0,15.748459119496854
2562,Sasha Pavlovic,0,12.29789855072464
203503,Tony Snell,0,21.80257164404223
739,Rasheed Wallace,0,20.764216666666663
1627814,Damion Lee,0,16.58723404255319
101132,Linas Kleiza,0,22.82398148148148
2804,Andres Nocioni,0,17.598202380952383
947,Allen Iverson,2,30.868690476190476
201155,Rodney Stuckey,2,27.752642671854733
201196,Ramon Sessions,2,22.68273007856341
202809,Cory Higgins,2,10.33871212121212
948,Marcus Camby,3,25.20688372093023
1902,Jeff Foster,3,16.092128514056224
203961,Eric Moreland,3,10.771544715447154
201189,Aaron Gray,3,12.543174999999998
951,Ray Allen,0,31.41072625698324
203914,Gary Harris,0,28.42801178992497
202083,Wesley Matthews,0,32.5808864265928
201158,Marco Belinelli,0,24.078950022925262
