source,target
255,202412
255,201970
255,201604
406,2405
406,1627826
406,101115
436,203948
436,2694
436,2239
467,203143
467,2224
467,1628366
686,2853
686,101130
686,2617
689,201202
689,202327
689,201934
703,1903
703,1499
703,201187
708,2561
708,201175
708,2760
711,203917
711,2399
711,101110
714,101214
714,203503
714,203117
739,1628371
739,1629016
739,203120
947,201945
947,202809
947,200750
948,203961
948,202332
948,2740
951,1628379
951,201158
951,1628422
956,2217
956,202687
956,2570
959,202349
959,101114
959,200826
965,2550
965,1627758
965,1515
977,202681
977,202689
977,101150
978,201961
978,203459
978,201627
979,201579
979,202389
979,1628386
980,202730
980,200777
980,201591
1088,2550
1088,2039
1088,2768
1112,2740
1112,2407
1112,203961
1495,2200
1495,1628386
1495,1628976
1497,201571
1497,2240
1497,203144
1499,2408
1499,686
1501,202718
1501,2202
1501,1626181
1503,202323
1503,2564
1503,203107
1515,1626203
1515,2550
1515,2294
1533,203521
1533,1627853
1533,203148
1536,204020
1536,203079
1536,203114
1563,203902
1563,2306
1563,2624
1630,203135
1630,2694
1630,2555
1710,200789
1710,2581
1710,2039
1712,101141
1712,202700
1712,203932
1713,203918
1713,1626196
1713,202083
1715,2229
1715,1747
1715,1629059
1716,201986
1716,201228
1716,1626170
1717,200745
1717,2546
1717,1712
1718,202330
1718,1536
1718,201568
1729,101155
1729,2422
1729,101214
1733,203967
1733,203087
1733,1628374
1737,201582
1737,2731
1737,201585
1740,201611
1740,203138
1740,2047
1747,1629059
1747,2550
1747,1627853
1802,1503
1802,203112
1802,2431
1853,203485
1853,2248
1853,2224
1863,2757
1863,2557
1863,101127
1882,202379
1882,203476
1882,101161
1884,201144
1884,201952
1884,201950
1885,203210
1885,202720
1885,201150
1886,1628380
1886,1628467
1886,2246
1888,1863
1888,203895
1888,2732
1889,202386
1889,202397
1889,1627819
1890,2735
1890,1626155
1890,1627783
1891,200751
1891,204038
1891,202690
1894,203462
1894,203498
1894,201155
1897,202697
1897,1626169
1897,1716
1899,201229
1899,2047
1899,1626203
1902,203128
1902,201189
1902,201600
1903,201181
1903,2740
1904,2772
1904,1628969
1904,203200
1905,2222
1905,1626178
1905,203561
1938,200768
1938,202689
1938,201144
1952,2294
1952,202347
1952,203117
2030,202970
2030,101130
2030,203476
2034,1626192
2034,203503
2034,203585
2037,201569
2037,202690
2037,2732
2038,956
2038,2570
2038,2048
2039,2550
2039,1627812
2039,201985
2041,2217
2041,956
2041,2570
2045,201587
2045,200789
2045,2550
2047,203138
2047,201611
2048,200749
2048,201972
2048,2853
2050,1627863
2050,203463
2050,2484
2052,2586
2052,203121
2052,204014
2059,202698
2059,2137
2059,203123
2067,201961
2067,204038
2067,203493
2072,203895
2072,2732
2072,203095
2137,200782
2137,203524
2198,201972
2198,200749
2198,201623
2199,201600
2199,202684
2199,202399
2200,1628976
2200,1628418
2202,1627736
2202,201977
2203,200761
2203,203123
2203,201575
2205,201202
2205,703
2205,1903
2207,203918
2207,2732
2207,203085
2209,202325
2209,1627827
2209,2047
2210,101110
2210,202347
2210,2399
2211,1628391
2211,101107
2211,202376
2216,1626195
2216,201593
2216,202683
2217,202687
2222,1626178
2222,203561
2223,1737
2223,1627751
2223,2731
2224,2248
2224,203515
2225,201565
2225,101198
2225,201196
2229,101181
2229,1629059
2229,2749
2230,203106
2230,202341
2230,203463
2239,101177
2239,202498
2240,201943
2240,101126
2240,1627832
2246,1628380
2246,201957
2246,1627816
2248,203499
2248,203515
2250,2047
2250,2562
2250,1626203
2294,101120
2294,202347
2306,203902
2306,1533
2306,2575
2365,203105
2365,203481
2365,1626257
2399,101110
2400,203156
2400,1627746
2400,1628397
2403,203939
2403,1626178
2403,200794
2404,202344
2404,101161
2404,201581
2405,1626143
2405,200746
2406,201162
2406,1740
2406,1628422
2407,202350
2407,200780
2407,202345
2408,2570
2408,1630
2419,101211
2419,203103
2419,1628407
2420,201591
2420,101138
2420,201574
2422,2550
2422,203524
2422,203957
2427,203121
2427,203493
2427,2574
2429,200811
2429,202334
2429,1737
2430,101135
2430,2449
2430,202696
2431,2246
2431,203094
2431,1627816
2436,201564
2436,202343
2436,203895
2440,2748
2440,202341
2440,1626147
2443,201175
2443,2605
2443,203940
2446,201575
2446,1628681
2446,203459
2449,101135
2449,1627734
2457,201988
2457,200770
2457,1891
2484,203463
2484,201975
2484,203484
2501,201972
2501,1902
2501,2585
2544,201566
2544,201142
2544,2548
2545,203481
2545,203089
2545,1627745
2546,1712
2546,977
2547,1627746
2547,2561
2547,2449
2548,201936
2548,203507
2548,203100
2549,2744
2549,202338
2549,101162
2550,1628373
2551,101198
2551,2738
2551,201938
2553,203493
2553,2067
2553,203138
2554,203798
2554,203459
2554,201858
2555,203940
2555,2853
2555,203135
2556,202779
2556,201228
2556,1628983
2557,2757
2557,2742
2557,201573
2561,1627746
2561,201143
2562,1626173
2562,101155
2562,203524
2563,201945
2563,202809
2563,202333
2564,201177
2564,202323
2566,1627835
2566,101214
2566,2210
2568,203200
2568,204038
2568,2756
2570,203135
2570,200777
2571,203897
2571,203115
2571,202705
2572,201814
2572,201970
2572,201945
2574,204014
2574,203503
2575,1628373
2575,203902
2575,1627853
2581,2768
2581,203521
2581,1629121
2584,1627782
2584,203463
2584,101144
2585,2760
2585,203469
2585,200749
2586,203121
2586,203503
2588,202337
2588,201229
2588,1629244
2590,203504
2590,200770
2590,201166
2592,1629244
2592,201161
2592,202337
2594,203459
2594,203493
2594,201961
2605,202087
2605,202361
2605,201153
2617,2853
2617,203948
2617,200777
2624,2239
2624,101211
2624,101177
2694,203948
2730,203994
2730,1626210
2730,203497
2731,202389
2731,201582
2732,201158
2732,203895
2732,202390
2733,203489
2733,202386
2733,202709
2734,202391
2734,1628412
2734,202688
2735,201153
2735,2605
2735,202361
