id,name,group,avg_min,position,height,weight,country,seasons_played,team_name,team_city,start_year,end_year,draft_round,all_star_appearances
255,Grant Hill,2,27.83951882845188,Forward,6-8,225.0,USA,18,Pistons,Detroit,1994,2012,1,6.0
202412,Manny Harris,2,17.133387096774193,Guard,6-5,185.0,USA,5,Cavaliers,Cleveland,2010,2016,Undrafted,0.0
201970,Sam Young,2,15.917688172043011,Forward-Guard,6-6,225.0,USA,5,Grizzlies,Memphis,2009,2012,2,0.0
201604,Chris Douglas-Roberts,2,21.320711610486892,Guard,6-7,210.0,USA,7,nan,nan,2008,2014,2,0.0
406,Shaquille O'Neal,5,22.043464419475654,Center,7-1,325.0,USA,19,Lakers,Los Angeles,1992,2010,1,12.0
2405,Amar'e Stoudemire,5,27.68348705501618,Forward-Center,6-10,245.0,USA,15,Knicks,New York,2002,2015,1,6.0
1627826,Ivica Zubac,5,14.696690476190474,Center,7-0,240.0,Croatia,5,Clippers,LA,2016,2021,2,nan
101115,Andrew Bynum,5,29.775626016260162,Center,7-0,285.0,USA,8,Lakers,Los Angeles,2005,2013,1,1.0
436,Juwan Howard,0,14.932858585858586,Forward,6-9,250.0,USA,20,Wizards,Washington,1994,2012,1,1.0
203948,Johnny O'Bryant III,0,11.458673469387755,Forward,6-9,257.0,USA,5,nan,nan,2014,2017,2,0.0
2694,Josh Powell,1,10.62156779661017,Forward,6-9,240.0,USA,8,Lakers,Los Angeles,2005,2013,Undrafted,0.0
2239,Trenton Hassell,1,21.274262820512824,Forward-Guard,6-5,227.0,USA,10,Timberwolves,Minnesota,2001,2009,2,0.0
467,Jason Kidd,3,31.532108362779738,Guard,6-4,210.0,USA,19,Nets,New Jersey,1994,2012,1,9.0
203143,Pablo Prigioni,3,16.953172242874846,Guard,6-3,185.0,Argentina,5,Knicks,New York,2012,2015,Undrafted,0.0
2224,Jamaal Tinsley,3,16.348164414414413,Guard,6-3,188.0,USA,11,nan,nan,2001,2013,1,0.0
1628366,Lonzo Ball,3,32.349444444444444,Guard,6-6,190.0,USA,4,Bulls,Chicago,2017,2021,1,nan
686,Antonio McDyess,0,20.023888888888887,Forward-Center,6-9,245.0,USA,16,Pistons,Detroit,1995,2010,1,1.0
2853,Earl Barron,0,14.60640804597701,Forward-Center,7-0,250.0,USA,9,Heat,Miami,2005,2014,Undrafted,0.0
101130,Johan Petro,0,12.811124794745485,Center,7-0,247.0,France,9,Thunder,Oklahoma City,2005,2012,1,0.0
2617,Udonis Haslem,0,18.572815261044177,Forward,6-8,235.0,USA,18,Heat,Miami,2003,2021,Undrafted,nan
689,Theo Ratliff,0,14.858954802259886,Center,6-10,235.0,USA,17,76ers,Philadelphia,1995,2010,1,0.0
201202,Joel Anthony,0,13.743823773898587,Center,6-9,245.0,Canada,11,Heat,Miami,2007,2016,Undrafted,0.0
202327,Ekpe Udoh,0,14.830008703220193,Center-Forward,6-10,245.0,USA,8,Jazz,Utah,2010,2018,1,0.0
