source,target
255,1627820
255,2754
255,1628439
406,2403
406,101124
406,201593
436,202345
436,1499
436,202686
467,2581
467,2224
467,1715
686,202730
686,200777
686,101130
689,2046
689,201880
689,2408
703,201187
703,1499
703,201880
708,1628976
708,101135
708,1627734
711,1627782
711,2484
711,203484
714,203710
714,2562
714,203503
739,1627814
739,101132
739,2804
947,201155
947,201196
947,202809
948,1902
948,203961
948,201189
951,203914
951,202083
951,201158
956,201972
956,201181
956,201934
959,200765
959,201937
959,1884
965,1515
965,202066
965,1627775
977,1626164
977,201142
977,2546
978,203082
978,201961
978,1627736
979,201274
979,201579
979,203156
980,202336
980,1737
980,1627738
1088,101179
1088,2550
1088,203521
1112,201181
1112,203128
1112,1903
1495,2200
1495,203994
1495,202328
1497,1938
1497,203915
1497,101150
1499,202730
1501,202711
1501,202694
1501,1627759
1503,1628401
1503,202323
1503,2738
1515,202066
1515,1628969
1533,201986
1533,203499
1533,203526
1536,2436
1536,203895
1536,203114
1563,2624
1563,202732
1563,2239
1630,2735
1630,201153
1630,1627778
1710,204060
1710,1629059
1710,203957
1712,202699
1712,200745
1712,1628367
1713,1627752
1713,1628416
1713,203918
1715,2581
1715,203521
1715,203580
1716,201228
1716,201588
1716,201573
1717,204001
1717,202695
1717,201572
1718,202330
1718,201568
1718,1629019
1729,2422
1729,204098
1729,201584
1733,1628398
1733,203087
1733,1628374
1737,202336
1737,201585
1737,203382
1740,1627774
1740,200760
1740,1627786
1747,202721
1747,203957
1747,1629059
1802,1628959
1802,201949
1802,1627885
1853,2575
1853,1629001
1853,2768
1863,201938
1863,201954
1863,101198
1882,201577
1882,201959
1882,203092
1884,200826
1884,101114
1884,201950
1885,1628464
1885,201150
1885,1626204
1886,1626147
1886,201960
1886,201956
1888,101145
1888,1629012
1888,202779
1889,203901
1889,2551
1889,101127
1890,201160
1890,2545
1890,2694
1891,200751
1891,1627812
1891,1626196
1894,201942
1894,2405
1894,203507
1897,1629133
1897,202341
1897,201162
1899,1627733
1899,2047
1899,1627827
1902,203128
1902,201189
1903,201181
1903,2205
1904,2588
1904,200761
1904,2047
1905,2222
1905,1628021
1905,2563
1938,200768
1938,202339
1938,203915
1952,203117
1952,1626253
1952,1627775
2030,203135
2030,101161
2030,202344
2034,1626192
2034,203123
2034,203585
2037,201569
2037,1626780
2037,203897
2038,1112
2038,201181
2038,1903
2039,203957
2039,1629059
2039,1747
2041,201157
2041,101131
2041,202716
2045,201587
2045,201976
2045,203935
2046,201880
2046,2408
2047,200761
2047,2588
2048,201595
2048,202687
2048,201972
2050,201611
2050,2446
2050,2554
2052,2586
2052,2203
2052,1628390
2059,201964
2059,200081
2059,1627855
2067,1627854
2067,201961
2067,204038
2072,2436
