Date,Team,player,Notes,body_part,is_severe
10/26/2016,Hawks, Mike Scott,left knee injury (DTD),left knee,
10/27/2016,Hawks, Mike Scott,placed on IL with left knee injury (DTD),left knee,
12/13/2016,Hawks, Mike Scott,placed on IL,placed on IL,
1/4/2016,Spurs, Tony Parker,placed on IL with sore right hip,right hip,
1/20/2016,Spurs, Tony Parker,right hip injury (DTD),right hip,
1/21/2016,Spurs, Tony Parker,placed on IL with right hip injury,right hip,
2/10/2016,Spurs, Tony Parker,left ankle injury (DTD),left ankle,
3/8/2016,Spurs, Tony Parker,bruised left toe (DTD),left-foot toe,
3/26/2016,Spurs, Tony Parker,rest (DTD),rest,
4/8/2016,Spurs, Tony Parker,rest (DTD),rest,
4/13/2016,Spurs, Tony Parker,rest (DTD),rest,
10/29/2016,Spurs, Tony Parker,knee injury / rest (DTD),(left or right) knee,
11/3/2016,Spurs, Tony Parker,sore right knee (DTD),"right knee
",
11/4/2016,Spurs, Tony Parker,placed on IL with sore right knee,"right knee
",
11/21/2016,Spurs, Tony Parker,sore knee / rest (DTD),(left or right) knee,
11/30/2016,Spurs, Tony Parker,rest (DTD),rest,
12/2/2016,Spurs, Tony Parker,placed on IL with bruised left quadriceps,left quadricep,
12/6/2016,Spurs, Tony Parker,placed on IL with bruised left knee / thigh,left knee,
12/23/2016,Spurs, Tony Parker,rest (DTD),rest,
10/26/2016,Mavericks,A.J. Hammons,placed on IL,placed on IL,
10/30/2016,Mavericks,A.J. Hammons,placed on IL,placed on IL,
12/27/2016,Mavericks,A.J. Hammons,placed on IL,placed on IL,
10/24/2016,Pacers,Aaron Brooks,sore knee (DTD),(left or right) knee,
10/26/2016,Pacers,Aaron Brooks,sore knee (DTD),(left or right) knee,
10/28/2016,Pacers,Aaron Brooks,placed on IL with sore knee,(left or right) knee,
4/7/2016,Magic,Aaron Gordon,concussion (DTD),head,1
4/10/2016,Hornets,Aaron Harrison,placed on IL,placed on IL,
4/17/2016,Hornets,Aaron Harrison,placed on IL,placed on IL,
10/28/2016,Hornets,Aaron Harrison,placed on IL,placed on IL,
11/13/2016,Hornets,Aaron Harrison,placed on IL,placed on IL,
11/23/2016,Hornets,Aaron Harrison,placed on IL,placed on IL,
12/7/2016,Hornets,Aaron Harrison,placed on IL,placed on IL,
1/25/2016,Timberwolves,Adreian Payne,placed on IL,placed on IL,
11/2/2016,Celtics,Al Horford,placed on IL with concussion,head,1
