id,full_name,first_name,last_name,is_active,playing_style
2,Byron Scott,Byron,Scott,FALSE,2
3,Grant Long,Grant,Long,FALSE,5
7,Dan Schayes,Dan,Schayes,FALSE,6
9,Sedale Threatt,Sedale,Threatt,FALSE,0
12,Chris King,Chris,King,FALSE,3
15,Eric Piatkowski,Eric,Piatkowski,FALSE,5
17,Clyde Drexler,Clyde,Drexler,FALSE,0
21,Greg Anthony,Greg,Anthony,FALSE,1
22,Rik Smits,Rik,Smits,FALSE,3
23,Dennis Rodman,Dennis,Rodman,FALSE,0
24,Keith Jennings,Keith,Jennings,FALSE,6
26,Luc Longley,Luc,Longley,FALSE,1
28,Doug West,Doug,West,FALSE,3
29,Jim McIlvaine,Jim,McIlvaine,FALSE,6
30,Richard Dumas,Richard,Dumas,FALSE,4
31,Lorenzo Williams,Lorenzo,Williams,FALSE,4
32,Clifford Rozier,Clifford,Rozier,FALSE,1
35,Eric Riley,Eric,Riley,FALSE,0
36,Sarunas Marciulionis,Sarunas,Marciulionis,FALSE,1
37,Greg Graham,Greg,Graham,FALSE,2
38,Brad Lohaus,Brad,Lohaus,FALSE,4
41,Anthony Bonner,Anthony,Bonner,FALSE,1
42,Monty Williams,Monty,Williams,FALSE,5
43,Chris Whitney,Chris,Whitney,FALSE,5
45,George McCloud,George,McCloud,FALSE,3
46,Mike Peplowski,Mike,Peplowski,FALSE,0
47,Wayman Tisdale,Wayman,Tisdale,FALSE,0
49,Gheorghe Muresan,Gheorghe,Muresan,FALSE,6
51,Mahmoud Abdul-Rauf,Mahmoud,Abdul-Rauf,FALSE,1
52,Micheal Williams,Micheal,Williams,FALSE,6
53,Mario Elie,Mario,Elie,FALSE,1
54,Dickey Simpkins,Dickey,Simpkins,FALSE,5
55,Marty Conlon,Marty,Conlon,FALSE,3
56,Gary Payton,Gary,Payton,FALSE,5
57,Doug Christie,Doug,Christie,FALSE,1
61,Carl Herrera,Carl,Herrera,FALSE,1
63,Michael Smith,Michael,Smith,FALSE,1
64,Sam Perkins,Sam,Perkins,FALSE,2
65,Greg Minor,Greg,Minor,FALSE,2
66,Marques Bragg,Marques,Bragg,FALSE,6
67,Tom Hammonds,Tom,Hammonds,FALSE,2
70,Steve Kerr,Steve,Kerr,FALSE,3
71,Pooh Richardson,Pooh,Richardson,FALSE,3
72,Kenny Anderson,Kenny,Anderson,FALSE,3
73,Hot Rod Williams,Hot Rod,Williams,FALSE,6
74,Derrick Phelps,Derrick,Phelps,FALSE,1
76,Cedric Ceballos,Cedric,Ceballos,FALSE,2
77,Doug Overton,Doug,Overton,FALSE,6
78,LaSalle Thompson,LaSalle,Thompson,FALSE,4
80,Ken Norman,Ken,Norman,FALSE,4
81,Jeff Grayer,Jeff,Grayer,FALSE,0
82,Bill Wennington,Bill,Wennington,FALSE,6
84,Latrell Sprewell,Latrell,Sprewell,FALSE,3
85,Brent Price,Brent,Price,FALSE,6
87,Dikembe Mutombo,Dikembe,Mutombo,FALSE,2
88,Steve Scheffler,Steve,Scheffler,FALSE,3
89,Nick Van Exel,Nick,Van Exel,FALSE,3
93,Hubert Davis,Hubert,Davis,FALSE,6
95,Mark Bryant,Mark,Bryant,FALSE,5
96,Detlef Schrempf,Detlef,Schrempf,FALSE,5
97,Ronnie Grandison,Ronnie,Grandison,FALSE,3
98,Nick Anderson,Nick,Anderson,FALSE,5
100,Tim Legler,Tim,Legler,FALSE,4
101,Scott Skiles,Scott,Skiles,FALSE,5
103,Todd Day,Todd,Day,FALSE,5
104,Benoit Benjamin,Benoit,Benjamin,FALSE,2
105,Dan Majerle,Dan,Majerle,FALSE,2
107,Dale Ellis,Dale,Ellis,FALSE,3
109,Robert Horry,Robert,Horry,FALSE,0
111,LaPhonso Ellis,LaPhonso,Ellis,FALSE,2
112,Dontonio Wingfield,Dontonio,Wingfield,FALSE,0
114,Harold Miner,Harold,Miner,FALSE,1
116,David Wood,David,Wood,FALSE,2
117,Jeff Malone,Jeff,Malone,FALSE,6
120,Steven Smith,Steven,Smith,FALSE,3
121,Patrick Ewing,Patrick,Ewing,FALSE,1
122,Fred Roberts,Fred,Roberts,FALSE,6
123,Robert Pack,Robert,Pack,FALSE,2
124,Vlade Divac,Vlade,Divac,FALSE,3
128,David Benoit,David,Benoit,FALSE,4
129,Dino Radja,Dino,Radja,FALSE,0
132,Dwayne Morton,Dwayne,Morton,FALSE,4
133,David Wesley,David,Wesley,FALSE,0
134,Kevin Johnson,Kevin,Johnson,FALSE,2
136,P.J. Brown,P.J.,Brown,FALSE,3
137,Vernon Maxwell,Vernon,Maxwell,FALSE,3
138,Anthony Avent,Anthony,Avent,FALSE,2
140,Donald Royal,Donald,Royal,FALSE,0
141,Anthony Tucker,Anthony,Tucker,FALSE,4
143,Terry Dehere,Terry,Dehere,FALSE,6
145,Tracy Murray,Tracy,Murray,FALSE,3
146,Jud Buechler,Jud,Buechler,FALSE,5
147,Jalen Rose,Jalen,Rose,FALSE,3
149,Michael Adams,Michael,Adams,FALSE,1
154,Adrian Caldwell,Adrian,Caldwell,FALSE,1
156,Antoine Carr,Antoine,Carr,FALSE,2
157,Derek Harper,Derek,Harper,FALSE,3
160,Tim Breaux,Tim,Breaux,FALSE,5
164,Chris Childs,Chris,Childs,FALSE,5
165,Hakeem Olajuwon,Hakeem,Olajuwon,FALSE,3
166,Ron Harper,Ron,Harper,FALSE,0
168,Chris Mills,Chris,Mills,FALSE,1
170,Joe Kleine,Joe,Kleine,FALSE,5
173,Keith Askins,Keith,Askins,FALSE,3
174,John Battle,John,Battle,FALSE,0
175,Alton Lister,Alton,Lister,FALSE,0
176,Antonio Harvey,Antonio,Harvey,FALSE,4
177,Muggsy Bogues,Muggsy,Bogues,FALSE,2
178,Olden Polynice,Olden,Polynice,FALSE,4
179,Bryant Stith,Bryant,Stith,FALSE,0
180,John Crotty,John,Crotty,FALSE,1
181,Kenny Smith,Kenny,Smith,FALSE,0
182,Billy Owens,Billy,Owens,FALSE,3
183,Bison Dele,Bison,Dele,FALSE,0
184,Bobby Phills,Bobby,Phills,FALSE,6
185,Chris Webber,Chris,Webber,FALSE,0
187,Terry Cummings,Terry,Cummings,FALSE,5
189,B.J. Tyler,B.J.,Tyler,FALSE,6
190,Duane Causwell,Duane,Causwell,FALSE,1
192,Dennis Scott,Dennis,Scott,FALSE,2
193,Anthony Mason,Anthony,Mason,FALSE,3
194,Anthony Bowie,Anthony,Bowie,FALSE,5
195,Lee Mayberry,Lee,Mayberry,FALSE,5
197,Scott Burrell,Scott,Burrell,FALSE,2
198,Danny Ferry,Danny,Ferry,FALSE,2
199,Reggie Williams,Reggie,Williams,FALSE,4
201,Chris Dudley,Chris,Dudley,FALSE,4
202,Gary Grant,Gary,Grant,FALSE,6
203,Nate McMillan,Nate,McMillan,FALSE,3
204,Jeff Hornacek,Jeff,Hornacek,FALSE,4
208,Sam Cassell,Sam,Cassell,FALSE,2
209,Dell Curry,Dell,Curry,FALSE,4
210,Terrell Brandon,Terrell,Brandon,FALSE,1
211,Eric Mobley,Eric,Mobley,FALSE,2
212,Yinka Dare,Yinka,Dare,FALSE,3
213,Antonio Davis,Antonio,Davis,FALSE,1
216,Brian Shaw,Brian,Shaw,FALSE,4
219,Vinny Del Negro,Vinny,Del Negro,FALSE,3
221,Clar. Weatherspoon,Clar.,Weatherspoon,FALSE,4
223,Bill Curley,Bill,Curley,FALSE,2
224,Eddie Jones,Eddie,Jones,FALSE,5
226,Antonio Lang,Antonio,Lang,FALSE,1
228,Adam Keefe,Adam,Keefe,FALSE,1
229,James Edwards,James,Edwards,FALSE,2
234,Khalid Reeves,Khalid,Reeves,FALSE,0
236,Kevin Edwards,Kevin,Edwards,FALSE,5
238,Tyrone Hill,Tyrone,Hill,FALSE,4
239,Darrick Martin,Darrick,Martin,FALSE,6
240,Brooks Thompson,Brooks,Thompson,FALSE,0
241,Darrin Hancock,Darrin,Hancock,FALSE,0
243,Aaron McKie,Aaron,McKie,FALSE,6
244,Dee Brown,Dee,Brown,FALSE,6
246,Greg Anderson,Greg,Anderson,FALSE,2
247,Joe Dumars,Joe,Dumars,FALSE,6
248,George Lynch,George,Lynch,FALSE,2
251,Sean Elliott,Sean,Elliott,FALSE,1
252,Karl Malone,Karl,Malone,FALSE,4
255,Grant Hill,Grant,Hill,FALSE,1
258,Brian Grant,Brian,Grant,FALSE,2
262,Michael Cage,Michael,Cage,FALSE,5
265,Harvey Grant,Harvey,Grant,FALSE,5
270,Horace Grant,Horace,Grant,FALSE,4
271,Johnny Newman,Johnny,Newman,FALSE,5
273,Duane Ferrell,Duane,Ferrell,FALSE,2
275,Allan Houston,Allan,Houston,FALSE,3
278,Stacey Augmon,Stacey,Augmon,FALSE,2
279,Charles Jones,Charles,Jones,FALSE,0
280,Felton Spencer,Felton,Spencer,FALSE,6
281,Scott Williams,Scott,Williams,FALSE,2
283,Lindsey Hunter,Lindsey,Hunter,FALSE,0
285,Greg Grant,Greg,Grant,FALSE,4
287,Eric Leckner,Eric,Leckner,FALSE,0
288,Armen Gilliam,Armen,Gilliam,FALSE,1
289,Ledell Eackles,Ledell,Eackles,FALSE,1
291,Ed Pinckney,Ed,Pinckney,FALSE,3
292,Anthony Miller,Anthony,Miller,FALSE,2
293,Charles Smith,Charles,Smith,FALSE,1
296,Rick Fox,Rick,Fox,FALSE,0
297,Alonzo Mourning,Alonzo,Mourning,FALSE,2
299,Glenn Robinson,Glenn,Robinson,FALSE,2
302,Mookie Blaylock,Mookie,Blaylock,FALSE,6
304,John Stockton,John,Stockton,FALSE,3
305,Robert Parish,Robert,Parish,FALSE,4
306,Steve Colter,Steve,Colter,FALSE,6
308,Derrick Alston,Derrick,Alston,FALSE,6
310,Bobby Hurley,Bobby,Hurley,FALSE,2
313,Vern Fleming,Vern,Fleming,FALSE,5
316,Richard Manning,Richard,Manning,FALSE,0
317,John Starks,John,Starks,FALSE,1
320,Jamie Watson,Jamie,Watson,FALSE,1
321,Scott Haskin,Scott,Haskin,FALSE,4
323,Greg Foster,Greg,Foster,FALSE,6
324,Anthony Peeler,Anthony,Peeler,FALSE,6
328,Rick Mahorn,Rick,Mahorn,FALSE,4
330,Danny Manning,Danny,Manning,FALSE,5
333,Kevin Gamble,Kevin,Gamble,FALSE,6
335,Willie Anderson,Willie,Anderson,FALSE,1
339,Tom Gugliotta,Tom,Gugliotta,FALSE,6
340,Kevin Pritchard,Kevin,Pritchard,FALSE,3
341,Joe Wolf,Joe,Wolf,FALSE,4
342,Andy Toolson,Andy,Toolson,FALSE,1
344,Dana Barros,Dana,Barros,FALSE,4
345,Terry Porter,Terry,Porter,FALSE,5
346,Doug Edwards,Doug,Edwards,FALSE,4
348,Mitchell Butler,Mitchell,Butler,FALSE,0
349,Mark Jackson,Mark,Jackson,FALSE,6
351,Stacey King,Stacey,King,FALSE,5
353,Darrell Armstrong,Darrell,Armstrong,FALSE,0
355,Vincent Askew,Vincent,Askew,FALSE,4
356,Chris Morris,Chris,Morris,FALSE,0
357,Greg Sutton,Greg,Sutton,FALSE,3
358,Anfernee Hardaway,Anfernee,Hardaway,FALSE,6
359,Chucky Brown,Chucky,Brown,FALSE,2
361,Clifford Robinson,Clifford,Robinson,FALSE,5
363,Christian Laettner,Christian,Laettner,FALSE,2
364,Rex Chapman,Rex,Chapman,FALSE,2
365,Derrick McKey,Derrick,McKey,FALSE,1
368,Dwayne Schintzius,Dwayne,Schintzius,FALSE,2
369,Charlie Ward,Charlie,Ward,FALSE,0
371,Terry Mills,Terry,Mills,FALSE,1
375,Isaiah Rider,Isaiah,Rider,FALSE,4
376,Eric Montross,Eric,Montross,FALSE,3
378,Craig Ehlo,Craig,Ehlo,FALSE,0
380,Tony Smith,Tony,Smith,FALSE,0
381,James Robinson,James,Robinson,FALSE,3
383,Kendall Gill,Kendall,Gill,FALSE,3
384,Calbert Cheaney,Calbert,Cheaney,FALSE,2
386,Elliot Perry,Elliot,Perry,FALSE,5
389,Toni Kukoc,Toni,Kukoc,FALSE,0
390,Sasha Danilovic,Sasha,Danilovic,FALSE,2
393,Rod Strickland,Rod,Strickland,FALSE,3
397,Reggie Miller,Reggie,Miller,FALSE,6
399,Sean Rooks,Sean,Rooks,FALSE,1
400,Derek Strong,Derek,Strong,FALSE,3
402,Jon Koncak,Jon,Koncak,FALSE,1
404,Kevin Duckworth,Kevin,Duckworth,FALSE,1
406,Shaquille O'Neal,Shaquille,O'Neal,FALSE,5
412,Sharone Wright,Sharone,Wright,FALSE,2
416,Willie Burton,Willie,Burton,FALSE,0
417,Sam Mitchell,Sam,Mitchell,FALSE,4
418,Scott Brooks,Scott,Brooks,FALSE,5
420,Jayson Williams,Jayson,Williams,FALSE,3
422,Avery Johnson,Avery,Johnson,FALSE,1
423,Chris Gatling,Chris,Gatling,FALSE,6
426,Terry Davis,Terry,Davis,FALSE,0
428,Sherman Douglas,Sherman,Douglas,FALSE,6
431,Shawn Kemp,Shawn,Kemp,FALSE,6
432,Pete Chilcutt,Pete,Chilcutt,FALSE,6
433,Buck Williams,Buck,Williams,FALSE,3
434,Tony Dumas,Tony,Dumas,FALSE,5
435,Carlos Rogers,Carlos,Rogers,FALSE,4
436,Juwan Howard,Juwan,Howard,FALSE,0
438,Robert Werdann,Robert,Werdann,FALSE,6
440,Zan Tabak,Zan,Tabak,FALSE,0
441,Lamond Murray,Lamond,Murray,FALSE,2
442,Pervis Ellison,Pervis,Ellison,FALSE,0
445,Wesley Person,Wesley,Person,FALSE,4
446,Lucious Harris,Lucious,Harris,FALSE,2
448,Bo Outlaw,Bo,Outlaw,FALSE,0
452,Vin Baker,Vin,Baker,FALSE,3
456,Chuck Person,Chuck,Person,FALSE,2
457,Andrew Lang,Andrew,Lang,FALSE,4
458,Howard Eisley,Howard,Eisley,FALSE,5
460,Trevor Ruffin,Trevor,Ruffin,FALSE,5
461,Popeye Jones,Popeye,Jones,FALSE,5
